Dataset,Model,AUC_mean,AUC_std,Recall@10%LOC_mean,Recall@10%LOC_std,Recall@20%LOC_mean,Recall@20%LOC_std,Recall@30%LOC_mean,Recall@30%LOC_std,Precision@10%LOC_mean,Precision@10%LOC_std,Precision@20%LOC_mean,Precision@20%LOC_std,Precision@30%LOC_mean,Precision@30%LOC_std
JM1,平衡Logistic,0.7172966345645551,0.009060999473675271,0.03259493670886076,0.01096742086967935,0.08607594936708861,0.014563075827360605,0.1485759493670886,0.01670284621963509,0.7123336941293426,0.08404717549055671,0.5994223657596551,0.024928848156829997,0.5336798911903927,0.03564533016257047
KC1,平衡Logistic,0.8018586687011252,0.01666016095826879,0.0816326530612245,0.015211346785712856,0.18979591836734694,0.017476506909748474,0.2663265306122449,0.017641227863795825,0.5745238095238095,0.11162043130767396,0.654661956714237,0.08050006819634223,0.5717701029610607,0.05734417953037435
PC1,平衡Logistic,0.8490392706872371,0.027032992062285738,0.12173913043478261,0.06080051293740009,0.23478260869565215,0.06216698721602092,0.36086956521739133,0.07404081028663653,0.27590825840825844,0.0916472052182859,0.2653201549912076,0.07576862317407164,0.2500563747622571,0.06940845022408115
